,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
13926,34488,12,083,12,FL,083,Marion County,H1
13927,34491,12,083,12,FL,083,Marion County,H1
13928,34498,12,075,12,FL,075,Levy County,H1
13929,34601,12,053,12,FL,053,Hernando County,H1
13930,34602,12,053,12,FL,053,Hernando County,H1
13931,34604,12,053,12,FL,053,Hernando County,H1
13932,34606,12,053,12,FL,053,Hernando County,H1
13933,34607,12,053,12,FL,053,Hernando County,H1
13934,34608,12,053,12,FL,053,Hernando County,H1
13935,34609,12,053,12,FL,053,Hernando County,H1
13936,34610,12,101,12,FL,101,Pasco County,H1
13937,34613,12,053,12,FL,053,Hernando County,H1
